Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,52_Week_High,52_Week_Low,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_125,SMA_200
RMD,ResMed,Health Care,Health Care Equipment,271.19,293.81,199.07,273.12,273.61,279.11,273.99,260.26,251.35,245.56
RVTY,Revvity,Health Care,Health Care Equipment,84.0,129.23,81.36,84.02,84.99,87.89,91.37,92.63,94.27,102.36
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,346.44,359.54,213.27,344.85,342.7,344.56,344.89,323.34,307.5,298.03
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,56.43,58.96,44.94,57.14,56.92,57.06,56.89,56.68,56.0,53.35
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,505.23,593.46,498.03,513.61,518.01,524.28,537.71,552.36,554.92,553.48
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,147.05,156.94,121.69,148.87,149.96,148.56,141.96,140.32,138.49,140.84
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",329.79,366.5,160.72,340.65,347.57,345.91,336.39,296.39,277.39,263.06
SPGI,S&P Global,Financials,Financial Exchanges & Data,543.99,578.04,425.6,545.34,542.98,547.28,542.15,525.41,516.39,513.53
CRM,Salesforce,Information Technology,Application Software,242.52,367.42,226.48,245.24,248.25,248.28,252.97,262.33,262.34,286.04
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,198.05,247.78,186.81,196.5,196.81,206.36,218.84,224.46,223.18,216.95
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,34.77,44.81,30.61,35.66,35.65,35.17,34.54,34.3,34.91,36.76
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",211.12,214.2,62.86,197.71,189.68,176.09,160.62,137.71,125.89,113.98
SRE,Sempra,Utilities,Multi-Utilities,83.39,93.45,61.37,82.63,82.09,82.03,80.31,77.8,76.02,77.97
NOW,ServiceNow,Information Technology,Systems Software,947.42,1198.09,678.66,934.38,925.44,908.29,927.77,962.43,929.9,965.47
SHW,Sherwin-Williams,Materials,Specialty Chemicals,357.08,397.81,307.5,360.94,364.21,365.28,353.54,351.54,348.28,351.18
SPG,Simon Property Group,Real Estate,Retail REITs,183.76,184.5,132.99,181.75,180.31,177.27,168.96,163.16,161.09,164.61
SWKS,Skyworks Solutions,Information Technology,Semiconductors,72.87,99.23,47.01,74.13,74.28,74.67,72.91,71.17,68.94,72.78
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,102.24,121.73,92.38,108.36,109.96,110.37,108.46,107.42,108.43,107.67
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,44.47,55.46,36.31,45.0,45.88,45.4,45.33,44.07,43.71,46.55
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,339.72,366.68,266.2,330.42,328.18,327.33,323.91,318.99,319.7,327.02
SOLV,Solventum,Health Care,Health Care Technology,73.21,85.92,60.7,72.9,72.74,72.66,73.09,72.67,72.24,72.38
SO,Southern Company,Utilities,Electric Utilities,92.28,95.68,78.5,91.89,91.77,92.64,93.08,90.97,90.48,87.89
LUV,Southwest Airlines,Industrials,Passenger Airlines,31.43,37.75,23.55,31.38,31.55,31.83,32.55,31.82,31.3,31.31
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,78.56,106.2,52.62,77.87,76.55,75.47,72.29,68.44,68.19,73.41
SBUX,Starbucks,Consumer Discretionary,Restaurants,82.68,115.87,74.48,82.73,84.73,86.67,89.99,88.37,88.52,92.77
STT,State Street Corporation,Financials,Asset Management & Custody Banks,112.12,116.37,72.29,112.06,112.52,113.16,111.3,103.76,99.83,98.17
STLD,Steel Dynamics,Materials,Steel,131.58,153.72,102.78,131.85,131.79,130.8,129.6,130.08,128.15,127.46
STE,Steris,Health Care,Health Care Equipment,247.81,253.0,199.47,248.47,246.26,246.66,236.94,236.54,233.33,226.59
SYK,Stryker Corporation,Health Care,Health Care Equipment,377.11,404.87,328.46,384.99,388.32,389.26,388.69,384.85,379.73,379.18
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",45.38,66.44,17.25,44.23,42.32,42.99,48.07,44.47,42.56,40.59
SYF,Synchrony Financial,Financials,Consumer Finance,76.28,77.41,40.15,75.69,75.72,74.73,72.04,65.46,62.32,62.85
SNPS,Synopsys,Information Technology,Application Software,419.2,651.73,365.74,454.98,526.82,566.2,586.7,536.23,514.32,509.77
SYY,Sysco,Consumer Staples,Food Distributors,79.87,83.17,66.65,80.65,81.13,80.52,79.7,76.18,75.22,74.7
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,239.74,274.51,192.73,241.19,246.23,249.68,242.34,240.33,243.79,241.37
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,104.17,121.15,76.8,105.86,106.81,107.05,105.62,99.28,97.08,101.46
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,247.25,250.45,146.76,246.39,244.09,237.51,233.27,232.43,227.75,215.01
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",110.17,113.62,40.64,106.8,105.48,102.52,103.7,91.42,86.66,80.81
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,163.33,215.2,141.47,163.93,163.93,163.68,165.39,165.57,168.76,177.41
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,88.56,155.5,85.44,90.35,91.39,95.16,99.74,97.61,97.47,108.36
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,211.15,215.22,115.38,210.47,208.81,206.66,198.04,178.43,169.85,161.2
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,556.66,570.56,418.91,553.76,549.37,545.81,545.14,517.64,509.91,501.16
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,114.07,143.64,65.6,114.95,117.31,115.8,105.96,94.17,91.14,101.11
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,410.04,488.54,212.11,373.91,356.88,347.25,330.42,323.87,309.7,331.09
TXN,Texas Instruments,Information Technology,Semiconductors,178.2,220.1,137.77,182.84,187.08,194.63,196.91,190.85,185.34,185.62
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,923.52,1759.83,785.02,927.49,921.99,913.05,941.2,1075.24,1115.8,1191.43
TXT,Textron,Industrials,Aerospace & Defense,82.23,91.21,57.67,81.44,81.18,80.77,80.96,77.94,76.13,76.43
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,474.46,622.14,385.46,480.86,484.61,488.01,466.28,438.32,444.97,480.24
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,141.17,145.58,109.83,140.26,140.05,138.18,131.27,128.99,127.55,125.37
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,204.49,212.48,113.06,200.15,195.72,190.75,179.22,172.3,167.52,160.4
TTD,Trade Desk (The),Communication Services,Advertising,45.54,141.53,42.96,46.89,49.84,51.56,66.57,67.62,64.62,80.92
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,59.61,63.75,46.46,59.55,60.07,60.83,59.2,55.06,54.41,54.48
TT,Trane Technologies,Industrials,Building Products,402.44,475.11,296.82,408.96,410.32,416.7,430.37,422.0,405.2,392.78
TDG,TransDigm Group,Industrials,Aerospace & Defense,1288.13,1519.36,1107.45,1290.46,1288.17,1298.44,1377.57,1360.89,1339.68,1295.86
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,276.3,280.0,220.97,275.89,275.29,272.93,265.24,265.42,262.89,256.14
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,81.01,87.5,52.91,80.99,80.39,80.95,81.88,76.05,73.49,73.14
TFC,Truist Financial,Financials,Diversified Banks,44.78,47.46,32.72,45.14,45.81,45.67,44.7,42.16,41.24,42.19
TYL,Tyler Technologies,Information Technology,Application Software,539.46,661.31,513.52,548.55,552.94,557.27,566.69,567.79,567.76,580.73
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,54.0,63.75,51.39,55.29,55.76,56.1,54.96,55.33,56.25,56.78
USB,U.S. Bancorp,Financials,Diversified Banks,49.29,52.21,34.8,49.26,49.0,48.31,46.85,44.92,43.87,44.98
UBER,Uber,Industrials,Passenger Ground Transportation,98.85,98.86,59.33,95.82,94.22,94.65,92.7,89.45,86.07,79.8
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,37.76,45.63,35.84,38.44,38.57,38.72,39.27,40.13,40.42,41.05
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,526.08,539.0,309.01,518.38,521.97,521.35,509.74,471.41,449.08,428.82
UNP,Union Pacific Corporation,Industrials,Rail Transportation,216.25,252.32,202.16,215.69,218.28,220.3,223.25,222.27,222.55,227.21
UAL,United Airlines Holdings,Industrials,Passenger Airlines,104.55,116.0,47.46,106.73,106.49,104.51,95.77,86.3,82.75,88.51
UPS,United Parcel Service,Industrials,Air Freight & Logistics,84.02,136.36,82.0,84.25,84.56,85.98,90.09,93.22,94.76,103.45
URI,United Rentals,Industrials,Trading Companies & Distributors,947.9,980.53,523.58,947.13,954.98,942.28,884.94,791.37,753.95,742.81
UNH,UnitedHealth Group,Health Care,Managed Health Care,347.89,621.24,234.6,349.74,331.14,317.8,292.8,311.65,353.88,414.6
UHS,Universal Health Services,Health Care,Health Care Facilities,189.58,242.21,152.16,188.92,186.92,184.61,176.13,178.93,178.77,180.79
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,157.57,163.02,97.37,158.44,157.14,151.01,144.91,136.34,132.82,131.25
VTR,Ventas,Real Estate,Health Care REITs,69.85,70.82,55.85,69.31,68.56,68.28,67.21,65.7,65.9,64.14
VLTO,Veralto,Industrials,Environmental & Facilities Services,107.8,114.62,83.77,107.39,106.65,107.11,105.56,102.07,100.31,100.78
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,287.96,309.71,174.64,286.41,281.94,276.14,277.41,277.81,271.24,249.33
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,255.08,322.46,254.66,262.99,266.18,267.48,278.75,292.74,292.26,289.75
VZ,Verizon,Communication Services,Integrated Telecommunication Services,43.87,45.87,36.41,43.81,43.85,44.15,43.17,42.84,42.83,41.67
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,393.21,519.88,362.5,394.03,395.61,393.6,422.71,438.2,448.92,450.79
VTRS,Viatris,Health Care,Pharmaceuticals,9.6,13.04,6.68,10.08,10.28,10.4,9.7,9.14,8.92,9.7
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,33.08,34.01,27.24,33.13,33.28,33.24,33.13,32.41,32.17,31.25
V,Visa Inc.,Financials,Transaction & Payment Processing Services,339.05,374.85,266.36,340.82,344.15,345.82,346.49,350.24,346.89,339.95
VST,Vistra Corp.,Utilities,Electric Utilities,213.52,217.9,78.48,206.05,196.99,195.08,197.01,179.03,166.73,160.96
VMC,Vulcan Materials Company,Materials,Construction Materials,294.03,302.21,214.34,295.5,294.41,292.44,281.76,272.33,265.19,263.95
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,72.79,75.77,54.76,72.96,72.64,72.12,70.5,71.39,70.42,66.5
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,1012.62,1219.65,889.92,1004.06,1007.52,1006.73,1007.29,1031.26,1019.87,1038.72
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,188.34,215.82,151.42,189.8,191.07,192.29,197.2,198.34,193.95,193.96
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,11.98,13.25,7.98,11.98,12.03,11.93,11.67,11.39,11.33,10.81
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,103.69,104.51,76.74,102.51,101.35,99.71,98.73,97.75,95.78,95.06
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,115.62,124.69,79.76,116.36,117.3,117.37,118.27,114.05,109.56,109.77
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,19.46,19.59,7.08,15.86,13.91,12.87,12.55,11.12,10.78,10.68
WM,Waste Management,Industrials,Environmental & Facilities Services,216.13,240.84,197.45,217.84,219.92,222.81,226.03,228.65,228.24,223.63
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,299.04,423.56,275.05,298.09,299.24,297.9,299.52,324.06,328.35,350.26
WEC,WEC Energy Group,Utilities,Electric Utilities,110.97,111.26,89.63,109.63,108.37,107.96,107.51,106.26,106.02,102.79
