Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,High_52_Week,Low_52_Week,SMA5,SMA10,SMA20,SMA50,SMA200,Score,Target_Pcnt,Target_Price,Stop_Loss
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",362.0,385.03,180.73,371.42,373.67,363.19,362.71,319.11,0.2,7.25,388.24,338.15
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,152.56,175.33,122.48,155.84,157.33,161.52,164.57,160.73,-0.2,13.73,173.51,149.53
RTX,RTX Corporation,Industrials,Aerospace & Defense,202.1,204.92,111.86,199.22,201.21,199.57,193.63,165.55,0.0,2.01,206.16,192.98
O,Realty Income,Real Estate,Retail REITs,67.14,67.14,49.89,66.59,66.18,64.51,60.77,57.48,0.0,1.95,68.45,60.58
REG,Regency Centers,Real Estate,Retail REITs,78.7,78.7,63.5,78.02,77.18,75.97,72.26,70.42,0.2,1.21,79.65,72.29
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,781.59,811.29,481.15,779.18,784.3,775.72,769.35,636.14,-0.2,2.99,804.96,746.48
RF,Regions Financial Corporation,Financials,Regional Banks,27.77,30.95,17.76,28.66,29.26,29.71,28.64,25.49,-0.4,13.36,31.48,27.95
RSG,Republic Services,Industrials,Environmental & Facilities Services,229.03,255.99,203.52,223.43,221.95,220.75,216.09,226.53,0.1,-0.43,228.05,213.46
RMD,ResMed,Health Care,Health Care Equipment,254.51,292.36,202.72,255.3,255.92,258.24,253.26,259.37,0.1,6.83,271.89,244.59
RVTY,Revvity,Health Care,Health Care Equipment,98.04,117.9,82.39,97.87,97.84,100.23,102.97,95.53,0.0,9.69,107.54,92.93
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,75.69,152.46,34.17,75.57,75.62,79.5,100.34,106.92,0.0,23.46,93.45,65.56
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,406.63,428.82,215.66,402.65,397.99,405.51,405.9,360.77,0.0,6.38,432.57,378.44
